specimen_ID,digitizer,scale,x,y
CAP220712-009,DRA,177.33333,3279,865
,,166.01205,2879,1125
,,193.35172,2899,1037
,,,2965,975
,,,3033,939
,,,3043,853
,,,3015,811
,,,2995,803
,,,2885,917
,,,2779,983
,,,2763,1057
,,,2701,1151
,,,2341,1201
,,,2615,999
,,,2581,927
,,,2579,895
,,,2827,773
,,,2519,843
,,,2297,1133
,,,2541,803
CAP220712-010,DRA,164.04877,3310,771.33337
,,180,2912.66675,1158
,,176.04545,2912.66675,1060.66663
,,,2982,966
,,,3062,907.33337
,,,3024.66675,778
,,,2976.66675,738
,,,2956.66675,755.33337
,,,2874,912.66663
,,,2770,1027.33337
,,,2768.66675,1114
,,,2711.33325,1243
,,,2308,1398.33337
,,,2576,1093
,,,2513.33325,1025
,,,2508,993
,,,2752,768.66675
,,,2418.66675,954
,,,2232,1336.66663
,,,2418.66675,900.66663
CAP220712-014,DRA,182.01099,3108.33325,841.33337
,,178.01124,2773.66675,1124
,,172.04651,2780.33325,1048
,,,2837.66675,978.66663
,,,2913.66675,928
,,,2888.33325,824
,,,2855,796
,,,2825.66675,809.33337
,,,2755,924
,,,2660.33325,1009.33337
,,,2660.33325,1084
,,,2603,1181.33337
,,,2276.33325,1294.66663
,,,2505.66675,1046.66663
,,,2471,977.33337
,,,2468.33325,946.66663
,,,2669.66675,797.33337
,,,2405.66675,906.66663
,,,2217.66675,1224
,,,2409.66675,860
DRA220717-001,DRA,181.33395,3283,450
,,179.22611,2891,1042
,,168.35973,2863,910
,,,2929,780
,,,3003,696
,,,2929,532
,,,2863,506
,,,2831,532
,,,2785,726
,,,2673,900
,,,2699,1034
,,,2661,1200
,,,2233,1466
,,,2437,998
,,,2381,928
,,,2341,880
,,,2571,596
,,,2221,858
,,,2113,1402
,,,2203,788
DRA220815-010,DRA,176.91806,3390,583
,,168.58232,3010,987
,,184.53184,3010,887
,,182.88794,3078,789
,,176.91806,3152,731
,,,3130,607
,,,3074,583
,,,3048,595
,,,2968,751
,,,2876,843
,,,2878,939
,,,2820,1065
,,,2454,1209
,,,2698,907
,,,2642,835
,,,2630,799
,,,2860,603
,,,2552,769
,,,2372,1139
,,,2558,713
DRA220815-011,DRA,178.40404,3050,590
,,178.40404,2706,1064
,,182.53767,2694,968
,,,2750,862
,,,2818,782
,,,2788,694
,,,2736,664
,,,2708,682
,,,2656,832
,,,2562,952
,,,2574,1040
,,,2542,1166
,,,2188,1366
,,,2396,1022
,,,2348,966
,,,2326,932
,,,2504,733
,,,2238,899
,,,2116,1301
,,,2246,847
DRA220815-012,DRA,177.57878,3008.66675,566
,,182.15988,2794,1067.33337
,,181.64679,2759.33325,971.33337
,,,2790,867.33337
,,,2843.33325,776.66663
,,,2786,689.33325
,,,2715.33325,674.66675
,,,2699.33325,701.33337
,,,2691.33325,857.33337
,,,2628.66675,994.66663
,,,2663.33325,1080
,,,2655.33325,1194
,,,2352.66675,1489.66663
,,,2482,1115.66663
,,,2410,1079.66663
,,,2387.33325,1051.66663
,,,2532.66675,780.66675
,,,2278,1010
,,,2271.33325,1448.66663
,,,2275.33325,985.33337
DRA220815-013,DRA,188.38259,3060.66675,502.33325
,,175.17483,2766,990.33337
,,172.62419,2746,893
,,,2791.33325,786.3335
,,,2856.66675,698.33325
,,,2802,593
,,,2726,571.66675
,,,2704.66675,599.66675
,,,2663.33325,759.66675
,,,2594,898.33337
,,,2622,987.66663
,,,2600.66675,1127.66663
,,,2264.66675,1379.66663
,,,2422,1007.66663
,,,2356.66675,945
,,,2332.66675,906.33337
,,,2518,658.33325
,,,2248.66675,898.33337
,,,2174,1330.33337
,,,2232.66675,841
DRA220815-017,DRA,179.16349,3247.33325,644.66675
,,180.70971,2862,1014
,,177.83388,2874,920.66663
,,164.43844,2942,827.33337
,,188.47222,3006,774
,,,2998,654
,,,2942,604.66675
,,,2902,630
,,,2832.66675,775.3335
,,,2728.66675,886
,,,2735.33325,964.66663
,,,2678,1087.33337
,,,2283.33325,1243.66663
,,,2543.33325,933
,,,2490,863.66663
,,,2475.33325,821
,,,2720.66675,631.66675
,,,2395.33325,778.3335
,,,2210,1158.33337
,,,2399.33325,723.66675
DRA220815-019,DRA,182.53767,3398,721.66663
,,181.54063,2940.66675,1100.33337
,,170.49633,2950,989.66663
,,,3039.33325,899
,,,3118,851
,,,3123.33325,741.66663
,,,3070,681.66675
,,,3022,705.66663
,,,2931.33325,853.66663
,,,2808.66675,947
,,,2791.33325,1033.66663
,,,2714,1148.33337
,,,2311.33325,1261.66663
,,,2620.66675,991
,,,2578,917.66663
,,,2572.66675,875
,,,2832.66675,701.66675
,,,2500.66675,833
,,,2245.33325,1199
,,,2500,775
DRA220815-020,DRA,180.39956,3025.66675,503.33325
,,176.72578,2719,979.33337
,,178.54971,2704.33325,883.33337
,,,2759,772.66663
,,,2812.33325,699.33337
,,,2763,607.33325
,,,2703,586
,,,2672.33325,608.66675
,,,2632.33325,748.66663
,,,2553.66675,878
,,,2575,974
,,,2551,1100.66663
,,,2186.33325,1330.33337
,,,2370.33325,970.33337
,,,2306.33325,907
,,,2291.66675,883
,,,2495.66675,651
,,,2217,863
,,,2109,1263
,,,2201,816.33325
DRA220815-021,DRA,172.56883,3347.33325,567
,,174.28712,3000.66675,991
,,180.39956,2992.66675,892.33337
,,,3048.66675,797.66663
,,,3115.33325,729.66663
,,,3078,619
,,,3016.66675,596.33325
,,,2987.33325,616.33325
,,,2932.66675,757.66663
,,,2848.66675,864.33337
,,,2855.33325,963
,,,2816.66675,1080.33337
,,,2424.66675,1267.33337
,,,2648.66675,923.33337
,,,2588.66675,866
,,,2579.33325,835.33337
,,,2798,635.33325
,,,2504.66675,815.33337
,,,2346,1200.66663
,,,2500.66675,766
DRA220815-023,DRA,177.65385,3090,543.66675
,,184.39089,2694,949
,,180.96531,2694,849
,,,2760.66675,753
,,,2830,694.33325
,,,2816.66675,579.66675
,,,2766,553
,,,2720.66675,585
,,,2658,721
,,,2552.66675,825
,,,2552.66675,923.6665
,,,2496.66675,1041
,,,2127.33325,1201
,,,2362,893
,,,2304.66675,825
,,,2296.66675,797
,,,2532.66675,606.33325
,,,2231.33325,771.6665
,,,2054,1134.33337
,,,2227.33325,722.33325
DRA220815-024,DRA,172.29045,3244.66675,606.66675
,,184.69434,2902,1056.66663
,,180.70971,2884.66675,948.66663
,,,2940.66675,846
,,,3004.66675,786
,,,2963.33325,668.66675
,,,2907.33325,638
,,,2886,658
,,,2832.66675,824.6665
,,,2736.66675,940.66663
,,,2750,1031.33337
,,,2715.33325,1156.66663
,,,2342.33325,1364
,,,2559.66675,1017.33337
,,,2494.33325,949.33337
,,,2482.33325,910.66663
,,,2694.33325,695.66675
,,,2397,882.33337
,,,2257,1285
,,,2383.66675,815.66675
CAP220712-009,LH,176.012,3277,1884
,,174.031,2862.5,1625.5
,,179,2898.5,1709.5
,,,2961.5,1772.5
,,,3030.5,1805.5
,,,3048.5,1895.5
,,,3027.5,1934.5
,,,2988.5,1940.5
,,,2883.5,1829.5
,,,2781.5,1763.5
,,,2766.5,1685.5
,,,2697.5,1595.5
,,,2340.5,1547.5
,,,2613.5,1745.5
,,,2580.5,1820.5
,,,2577.5,1850.5
,,,2820.5,1973.5
,,,2532.5,1898.5
,,,2292.5,1610.5
,,,2541.5,1943.5
CAP220712-010,LH,171.813,3312,1984
,,164.071,2899.5,1583.5
,,172.461,2907.5,1683.5
,,,2979.5,1775.5
,,,3055.5,1835.5
,,,3039.5,1915.5
,,,2987.5,1999.5
,,,2955.5,1991.5
,,,2871.5,1835.5
,,,2767.5,1719.5
,,,2767.5,1627.5
,,,2707.5,1503.5
,,,2303.5,1355.5
,,,2575.5,1659.5
,,,2507.5,1723.5
,,,2503.5,1751.5
,,,2751.5,1975.5
,,,2415.5,1791.5
,,,2235.5,1403.5
,,,2431.5,1863.5
DRA220712-014,LH,176,3112,1906
,,174.031,2766.5,1620.5
,,178.912,2772.5,1695.5
,,,2835.5,1767.5
,,,2907.5,1815.5
,,,2892.5,1923.5
,,,2853.5,1947.5
,,,2826.5,1938.5
,,,2754.5,1824.5
,,,2661.5,1740.5
,,,2652.5,1662.5
,,,2598.5,1557.5
,,,2280.5,1452.5
,,,2502.5,1698.5
,,,2466.5,1770.5
,,,2466.5,1797.5
,,,2667.5,1950.5
,,,2394.5,1830.5
,,,2217.5,1518.5
,,,2403.5,1887.5
DRA220712-001,LH,167.062,3283.5,2303.5
,,173.901,2883.5,1691.5
,,176,2855.5,1831.5
,,,2923.5,1963.5
,,,2991.5,2043.5
,,,2915.5,2219.5
,,,2855.5,2235.5
,,,2827.5,2207.5
,,,2783.5,2015.5
,,,2679.5,1851.5
,,,2699.5,1719.5
,,,2655.5,1547.5
,,,2235.5,1283.5
,,,2443.5,1739.5
,,,2359.5,1811.5
,,,2335.5,1859.5
,,,2567.5,2147.5
,,,2211.5,1891.5
,,,2111.5,1347.5
,,,2203.5,1959.5
DRA220810-010-1,LH,176.012,3388,2176
,,174.031,2991.5,1759.5
,,165.782,3011.5,1859.5
,,,3071.5,1951.5
,,,3147.5,2011.5
,,,3123.5,2147.5
,,,3071.5,2163.5
,,,3035.5,2147.5
,,,2967.5,1999.5
,,,2879.5,1915.5
,,,2871.5,1807.5
,,,2819.5,1687.5
,,,2455.5,1543.5
,,,2691.5,1843.5
,,,2639.5,1927.5
,,,2631.5,1955.5
,,,2859.5,2151.5
,,,2559.5,1979.5
,,,2371.5,1607.5
,,,2559.5,2047.5
DRA220815-011,LH,169.022,3043.5,2163.5
