specimen_ID,digitizer,scale,x,y
CAP220712-009,DRA,177.33333,2834,1682
,,166.01205,2925,1500
,,193.35172,2891,1494
,,,2765,1562
,,,2602,1676
,,,2530,1653
CAP220712-010,DRA,164.04877,2937.33325,1920.66669
,,180,3060,1711.33337
,,176.04545,3030.66675,1684.66663
,,,2866.66675,1755.33331
,,,2645.33325,1884.66669
,,,2578.66675,1838
CAP220712-014,DRA,182.01099,2736.33325,1773
,,178.01124,2816.33325,1597
,,172.04651,2792.33325,1590.33337
,,,2696.33325,1666.33337
,,,2529.66675,1774.33331
,,,2472.33325,1750.33331
DRA220717-001,DRA,181.33395,3031,1874
,,179.22611,3071,1564
,,168.35973,3025,1556
,,,2877,1700
,,,2687,1934
,,,2581,1920
DRA220815-010,DRA,176.91806,2866,1945
,,168.58232,2972,1749
,,184.53184,2954,1729
,,182.88794,2790,1799
,,176.91806,2606,1901
,,,2524,1867
DRA220815-011,DRA,178.40404,2770,2054
,,178.40404,2858,1850
,,182.53767,2834,1830
,,,2690,1898
,,,2494,2028
,,,2412,2004
DRA220815-012,DRA,177.57878,3006.33325,1988.66663
,,182.15988,3058.33325,1772.66669
,,181.64679,3026.33325,1760.66669
,,,2913,1858
,,,2751.66675,2034
,,,2663.66675,2019.33331
DRA220815-013,DRA,188.38259,2850,1896.66669
,,175.17483,2954,1695.33337
,,172.62419,2927.33325,1678
,,,2770,1752.66669
,,,2576.66675,1874
,,,2492.66675,1846
DRA220815-017,DRA,179.16349,2851.33325,1811.66669
,,180.70971,2971.33325,1607.66663
,,177.83388,2942,1594.33337
,,164.43844,2798,1642.33337
,,188.47222,2607.33325,1745
,,,2520.66675,1707.66663
DRA220815-019,DRA,182.53767,2833.33325,1901
,,181.54063,2974.66675,1705
,,170.49633,2948,1675.66663
,,,2786.66675,1714.33337
,,,2553.33325,1813
,,,2490.66675,1754.33331
DRA220815-020,DRA,180.39956,2830.33325,1713
,,176.72578,2917,1511.66663
,,178.54971,2877,1490.33337
,,,2738.33325,1567.66663
,,,2558.33325,1721
,,,2466.33325,1706.33337
DRA220815-021,DRA,172.56883,2950,1916
,,174.28712,3090,1722.66663
,,180.39956,3066,1697.33337
,,,2900.66675,1740
,,,2682,1837.33331
,,,2592.66675,1790.66669
DRA220815-023,DRA,177.65385,2610,2048.33331
,,184.39089,2716.66675,1835
,,180.96531,2691.33325,1821.66669
,,,2539.33325,1891
,,,2348.66675,2012.33331
,,,2272.66675,1977.66669
DRA220815-024,DRA,172.29045,2977,1879.33331
,,184.69434,3033,1656.66663
,,180.70971,2991.66675,1640.66663
,,,2863.66675,1735.33331
,,,2697,1910
,,,2617,1888.66669
CAP220712-009,LH,177,1002,893
,,174.026,845.5,1038.5
,,181,865.5,1056.5
,,,1021.5,1024.5
,,,1205.5,968.5
,,,1267.5,1012.5
CAP220712-010,LH,173,2931.5,827.5
,,175.896,3059.5,1035.5
,,179,3035.5,1051.5
,,,2863.5,999.5
,,,2643.5,867.5
,,,2567.5,907.5
DRA220712-014,LH,169.453,1158,759
,,176.087,1031.5,920.5
,,178.212,1055.5,941.5
,,,1193.5,905.5
,,,1382.5,812.5
,,,1439.5,839.5
DRA220712-001,LH,180.076,584,720
,,175.982,539.5,1023.5
,,176.345,567.5,1035.5
,,,739.5,903.5
,,,919.5,655.5
,,,1031.5,663.5
DRA220815-010-1,LH,178.312,1036,952
,,176,975.5,1151.5
,,179.908,1011.5,1163.5
,,,1159.5,1071.5
,,,1303.5,919.5
,,,1387.5,931.5
DRA220815-011,LH,175.672,935.5,551.5
,,173.266,803.5,715.5
,,174.193,819.5,735.5
,,,979.5,707.5
,,,1199.5,619.5
,,,1267.5,663.5
DRA220815-012,LH,180,1188,668
,,178.293,1019.5,831.5
,,169.092,1047.5,851.5
,,,1207.5,827.5
,,,1427.5,747.5
,,,1487.5,803.5
DRA220815-013,LH,174.083,1032,612
,,174.903,867.5,763.5
,,179.938,879.5,783.5
,,,1055.5,771.5
,,,1279.5,711.5
,,,1339.5,771.5
DRA220815-017,LH,176.701,928,708
,,174.026,787.5,899.5
,,173.892,811.5,919.5
,,,983.5,879.5
,,,1175.5,787.5
,,,1255.5,831.5
DRA220815-019,LH,177.098,800,628
,,178,631.5,799.5
,,178.233,647.5,835.5
,,,823.5,815.5
,,,1079.5,735.5
,,,1155.5,811.5
DRA220815-020,LH,178.242,784,896
,,174.726,723.5,1111.5
,,180.092,755.5,1127.5
,,,891.5,1031.5
,,,1067.5,863.5
,,,1147.5,879.5
DRA220815-021,LH,176.394,1052,760
,,178.379,955.5,975.5
,,175,983.5,1003.5
,,,1139.5,927.5
,,,1331.5,771.5
,,,1423.5,815.5
DRA220815-023,LH,176.293,800,600
,,174,671.5,787.5
,,169.293,691.5,819.5
,,,855.5,775.5
,,,1047.5,659.5
,,,1107.5,711.5
DRA220815-024,LH,170.294,984,620
,,179.298,835.5,811.5
,,177.943,863.5,843.5
,,,1035.5,787.5
,,,1239.5,683.5
,,,1327.5,731.5
CAP220712-009,CN,184,2821,1062
,,182.003,2924.833,1238.833
,,191,2891.5,1246.833
,,,2759.5,1180.167
,,,2602.167,1068.167
,,,2531.5,1086.833
CAP220712-010,CN,185.011,2936,823
,,181.003,3060.833,1030.5
,,184.024,3028.833,1059.833
,,,2863.5,986.5
,,,2642.167,859.833
,,,2579.5,906.5
CAP220712-014,CN,183.011,2734.167,966.167
,,174.011,2814.167,1143.5
,,188.003,2792.833,1154.167
,,,2692.833,1082.167
,,,2530.167,966.167
,,,2471.5,996.833
DRA220717-001,CN,185.607,3026.167,864.833
,,184.22,3066.167,1174.167
,,189.676,3019.5,1184.833
,,,2871.5,1040.833
,,,2686.167,811.5
,,,2574.167,822.167
DRA220815-010,CN,168.428,2863,799
,,181.466,2973.5,994.5
,,185.456,2938.5,1010.5
,,,2777.5,942.5
,,,2605.5,840.5
,,,2542.5,875.5
DRA220815-011,CN,180.71,2764.5,698.5
,,184.532,2853.5,893.5
,,192.666,2825.5,909.5
,,,2683.5,842.5
,,,2492.5,713.5
,,,2415.5,738.5
DRA220815-012,CN,172.653,3004,756
,,185.389,3058.167,974.5
,,176.638,3019.5,985.167
,,,2907.5,882.5
,,,2752.833,711.833
,,,2663.5,721.167
DRA220815-013,CN,183.393,2846.167,848.167
,,179.338,2952.833,1049.5
,,183.175,2923.5,1066.833
,,,2763.5,990.833
,,,2574.167,869.5
,,,2495.5,900.167
DRA220815-017,CN,180.469,2847,936
,,175.285,2969.5,1135.5
,,186.604,2934.5,1150.5
,,,2789.5,1099.5
,,,2605.5,999.5
,,,2518.5,1038.5
DRA220815-019,CN,187.601,2830,849
,,181.797,2974.167,1043.167
,,175.345,2946.167,1072.5
,,,2776.833,1031.167
,,,2551.5,932.5
,,,2488.833,992.5
DRA220815-020,CN,172.743,2826.167,1030.5
,,181.797,2915.5,1242.5
,,176.479,2874.167,1258.5
,,,2740.833,1179.833
,,,2556.833,1023.833
,,,2470.167,1039.833
DRA220815-021,CN,181.706,2945,831
,,173.416,3091.5,1022.5
,,184.329,3056.833,1045.167
,,,2891.5,1002.5
,,,2683.5,906.5
,,,2595.5,953.167
DRA220815-023,CN,186.387,2605,700
,,178.18,2715.5,910.5
,,190.851,2688.5,922.5
,,,2531.5,850.5
,,,2348.5,731.5
,,,2271.5,764.5
DRA220815-024,CN,182.464,2969.5,870.5
,,170.66,3031.5,1091.5
,,173.416,2987.5,1105.5
,,,2860.5,1003.5
,,,2693.5,835.5
,,,2611.5,847.5
CAP220712-009,HJ,178,2826,1064
,,180.01111,2913.16675,1225.16663
,,164.01219,2887.83325,1253.16663
,,,2759.83325,1181.16663
,,,2605.16675,1070.5
,,,2531.83325,1091.83337
CAP220712-010,HJ,178,2929.5,825.5
,,178,3059.5,1037.5
