specimen_ID,digitizer,scale,x,y
AOI190709-001,AHB,140.057,768,558
,,156.051,1103.5,605.5
,,152.053,1052.5,632.5
,,,977.5,635.5
,,,923.5,620.5
,,,866.5,686.5
,,,866.5,728.5
,,,893.5,737.5
,,,989.5,716.5
,,,1103.5,725.5
,,,1136.5,683.5
,,,1208.5,659.5
,,,1451.5,785.5
,,,1190.5,788.5
,,,1175.5,845.5
,,,1160.5,869.5
,,,974.5,827.5
,,,1169.5,923.5
,,,1439.5,851.5
,,,1142.5,947.5
FJ170709-063,AHB,153.029,726,555
,,144,1121.5,551.5
,,138.13,1079.5,581.5
,,,998.5,596.5
,,,926.5,593.5
,,,878.5,662.5
,,,890.5,698.5
,,,914.5,713.5
,,,1022.5,671.5
,,,1124.5,662.5
,,,1157.5,623.5
,,,1244.5,593.5
,,,1496.5,692.5
,,,1244.5,728.5
,,,1232.5,788.5
,,,1217.5,809.5
,,,1007.5,797.5
,,,1229.5,857.5
,,,1502.5,761.5
,,,1211.5,890.5
FJ170712-011,AHB,135.133,795,414
,,144,1157.5,440.5
,,150,1106.5,479.5
,,,1040.5,491.5
,,,962.5,476.5
,,,908.5,542.5
,,,920.5,581.5
,,,947.5,587.5
,,,1049.5,563.5
,,,1145.5,569.5
,,,1205.5,518.5
,,,1277.5,488.5
,,,1526.5,614.5
,,,1265.5,626.5
,,,1250.5,683.5
,,,1232.5,710.5
,,,1028.5,686.5
,,,1244.5,758.5
,,,1514.5,668.5
,,,1223.5,788.5
FJ190711-001,AHB,138.033,614.5,194.5
,,153.029,1178.5,218.5
,,141.032,1112.5,275.5
,,,974.5,284.5
,,,899.5,272.5
,,,821.5,374.5
,,,827.5,446.5
,,,884.5,467.5
,,,1001.5,416.5
,,,1166.5,413.5
,,,1253.5,335.5
,,,1373.5,299.5
,,,1730.5,464.5
,,,1346.5,509.5
,,,1319.5,584.5
,,,1316.5,635.5
,,,1007.5,605.5
,,,1328.5,713.5
,,,1715.5,575.5
,,,1298.5,767.5
FJ190827-007,AHB,141,534,291
,,150.03,998.5,302.5
,,153.029,920.5,353.5
,,,821.5,353.5
,,,752.5,347.5
,,,677.5,434.5
,,,701.5,485.5
,,,728.5,491.5
,,,854.5,446.5
,,,983.5,446.5
,,,1043.5,398.5
,,,1142.5,368.5
,,,1439.5,491.5
,,,1124.5,527.5
,,,1103.5,590.5
,,,1100.5,629.5
,,,830.5,599.5
,,,1121.5,701.5
,,,1442.5,587.5
,,,1088.5,716.5
FJ190827-009,AHB,135,654,444
,,156,1091.5,461.5
,,150,1028.5,497.5
,,,935.5,500.5
,,,869.5,500.5
,,,818.5,572.5
,,,824.5,617.5
,,,854.5,632.5
,,,968.5,590.5
,,,1100.5,584.5
,,,1142.5,539.5
,,,1226.5,506.5
,,,1514.5,614.5
,,,1226.5,647.5
,,,1220.5,713.5
,,,1208.5,743.5
,,,974.5,725.5
,,,1223.5,800.5
,,,1523.5,698.5
,,,1193.5,836.5
FJ190827-017,AHB,135,240,483
,,129.869,650.5,431.5
,,159.452,596.5,485.5
,,,500.5,497.5
,,,455.5,500.5
,,,410.5,584.5
,,,428.5,632.5
,,,458.5,632.5
,,,566.5,578.5
,,,680.5,560.5
,,,713.5,506.5
,,,800.5,461.5
,,,1094.5,536.5
,,,812.5,611.5
,,,806.5,668.5
,,,806.5,704.5
,,,560.5,713.5
,,,827.5,752.5
,,,1115.5,611.5
,,,806.5,779.5
JG170708-021,AHB,141,900,546
,,141,1280.5,467.5
,,141.128,1238.5,521.5
,,,1154.5,548.5
,,,1094.5,551.5
,,,1067.5,635.5
,,,1097.5,677.5
,,,1112.5,671.5
,,,1199.5,620.5
,,,1298.5,587.5
,,,1343.5,527.5
,,,1403.5,488.5
,,,1682.5,524.5
,,,1439.5,629.5
,,,1421.5,683.5
,,,1427.5,710.5
,,,1226.5,737.5
,,,1445.5,767.5
,,,1703.5,605.5
,,,1436.5,803.5
JG170712-022,AHB,141.128,828,387
,,147.122,1262.5,419.5
,,144,1205.5,455.5
,,,1118.5,473.5
,,,1049.5,455.5
,,,989.5,527.5
,,,1001.5,569.5
,,,1025.5,572.5
,,,1130.5,545.5
,,,1250.5,548.5
,,,1307.5,503.5
,,,1394.5,473.5
,,,1640.5,608.5
,,,1367.5,620.5
,,,1343.5,662.5
,,,1355.5,692.5
,,,1103.5,668.5
,,,1346.5,764.5
,,,1643.5,680.5
,,,1322.5,788.5
JG170712-028,AHB,135.133,672,417
,,150,1076.5,419.5
,,150.12,1013.5,470.5
,,,929.5,479.5
,,,872.5,470.5
,,,815.5,542.5
,,,827.5,596.5
,,,857.5,602.5
,,,956.5,563.5
,,,1088.5,560.5
,,,1115.5,509.5
,,,1196.5,476.5
,,,1469.5,578.5
,,,1199.5,620.5
,,,1193.5,668.5
,,,1187.5,707.5
,,,959.5,692.5
,,,1211.5,770.5
,,,1481.5,662.5
,,,1181.5,794.5
JG170712-049,AHB,129.035,690,432
,,150.03,1115.5,434.5
,,138.033,1067.5,473.5
,,,968.5,482.5
,,,890.5,482.5
,,,842.5,554.5
,,,854.5,605.5
,,,881.5,611.5
,,,995.5,569.5
,,,1118.5,569.5
,,,1169.5,509.5
,,,1247.5,482.5
,,,1532.5,596.5
,,,1238.5,641.5
,,,1229.5,680.5
,,,1217.5,719.5
,,,992.5,707.5
,,,1532.5,680.5
,,,1232.5,791.5
,,,1208.5,815.5
JL190619-006,AHB,129,708,201
,,150,1238.5,233.5
,,144,1160.5,278.5
,,,1058.5,290.5
,,,971.5,275.5
,,,890.5,383.5
,,,911.5,428.5
,,,929.5,440.5
,,,1073.5,398.5
,,,1226.5,398.5
,,,1292.5,332.5
,,,1397.5,299.5
,,,1754.5,452.5
,,,1388.5,488.5
,,,1361.5,545.5
,,,1355.5,605.5
,,,1058.5,560.5
,,,1382.5,680.5
,,,1745.5,566.5
,,,1331.5,719.5
AOI190709-001,AZ,141,1831,564
,,139,1493.238,606.567
,,141.014,1541.167,637.167
,,141.014,1616.5,638.5
,,,1665.833,626.5
