specimen_ID,digitizer,scale,x,y
AOI190709-001,AHB,141,1521,486
,,132.034,1403.5,587.5
,,141,1433.5,608.5
,,,1523.5,596.5
,,,1670.5,563.5
,,,1715.5,596.5
FJ170709-063,AHB,147.031,1263,597
,,138.033,1136.5,692.5
,,141.032,1145.5,716.5
,,,1244.5,710.5
,,,1415.5,674.5
,,,1460.5,713.5
FJ170712-011,AHB,147.031,1449,552
,,141,1322.5,629.5
,,141.032,1334.5,650.5
,,,1427.5,662.5
,,,1616.5,662.5
,,,1640.5,707.5
FJ190711-001,AHB,126,1398,510
,,138,1178.5,632.5
,,147.031,1190.5,659.5
,,,1358.5,683.5
,,,1595.5,677.5
,,,1640.5,755.5
FJ190827-007,AHB,144.031,1035,390
,,144.031,887.5,506.5
,,156,890.5,530.5
,,,1031.5,527.5
,,,1229.5,497.5
,,,1277.5,551.5
FJ190827-009,AHB,207.022,819,321
,,219,611.5,485.5
,,204,629.5,518.5
,,,806.5,509.5
,,,1091.5,455.5
,,,1157.5,509.5
FJ190827-017,AHB,129.035,885,594
,,144.031,722.5,674.5
,,150.12,725.5,695.5
,,,851.5,713.5
,,,1043.5,716.5
,,,1082.5,767.5
JG170708-021,AHB,141,1347,552
,,144,1220.5,647.5
,,147,1232.5,674.5
,,,1349.5,677.5
,,,1511.5,638.5
,,,1556.5,680.5
JG170712-022,AHB,159.028,1374,648
,,156,1235.5,746.5
,,141,1241.5,767.5
,,,1358.5,770.5
,,,1535.5,755.5
,,,1577.5,794.5
JG170712-028,AHB,147.031,1326,621
,,156.029,1181.5,725.5
,,153.264,1196.5,749.5
,,,1322.5,755.5
,,,1490.5,725.5
,,,1535.5,764.5
JG170712-049,AHB,141.032,1332,474
,,147,1181.5,569.5
,,141.032,1196.5,599.5
,,,1316.5,599.5
,,,1493.5,569.5
,,,1553.5,617.5
JL190619-006,AHB,144.031,1380,495
,,147,1190.5,617.5
,,141,1208.5,644.5
,,,1382.5,662.5
,,,1601.5,641.5
,,,1652.5,698.5
AOI190709-001,AZ,141,1075,486
,,139,1186.5,589.5
,,141.014,1169.167,605.5
,,141.014,1070.5,596.167
,,,918.5,562.833
,,,870.5,597.5
FJ170709-063,AZ,144.031,1333,590
,,138.033,1455.833,696.167
,,141.128,1443.833,716.167
,,141.032,1345.167,708.167
,,,1179.833,676.167
,,,1133.167,708.167
FJ170712-011,AZ,141.032,1135,544
,,144.031,1271.167,626.5
,,144.031,1261.833,650.5
,,138,1156.5,666.5
,,,983.167,659.833
,,,947.167,701.167
FJ190711-001,AZ,147.031,1200,501
,,138.13,1409.5,626.5
,,141,1403.5,659.5
,,141.032,1223.5,686.5
,,,992.5,683.5
,,,959.5,758.5
FJ190827-007,AZ,144.031,1575,904
,,144,1730.5,1047.5
,,147.031,1716.5,1067.5
,,144.031,1564.5,1053.5
,,,1372.5,1001.5
,,,1316.5,1049.5
FJ190827-009,AZ,142.014,1724,1048
,,146,1945.5,1195.5
,,146,1929.5,1231.5
,,142.014,1749.5,1235.5
,,,1479.5,1207.5
,,,1415.5,1271.5
FJ190827-017,AZ,138.232,1532,1160
,,148.216,1671.5,1271.5
,,140.357,1661.5,1291.5
,,142.225,1547.5,1285.5
,,,1353.5,1255.5
,,,1319.5,1291.5
JG170708-021,AZ,140.014,1238,546
,,136.059,1369.5,655.5
,,138.014,1359.5,673.5
,,144.056,1245.5,671.5
,,,1081.5,643.5
,,,1039.5,679.5
JG170712-022,AZ,140.057,1122,1130
,,140.057,1279.5,1243.5
,,140.129,1265.5,1265.5
,,148.054,1141.5,1261.5
,,,969.5,1231.5
,,,929.5,1271.5
JG170712-028,AZ,138,1250,611
,,140.057,1405.5,724.5
,,140.129,1395.5,748.5
,,142.056,1275.5,746.5
,,,1109.5,720.5
,,,1065.5,762.5
JG170712-049,AZ,138.014,1254,465
,,138.014,1413.5,570.5
,,142.056,1395.5,594.5
